mol,charge
10,-0.047584
11,-0.037263
12,-0.023778
13,-0.039410
14,-0.099953
15,-0.112194
16,-0.035614
17,-0.038924
18,-0.003447
19,-0.012523
1,-0.047750
20,-0.085809
21,-0.069131
22,-0.018341
23,-0.073528
24,-0.009336
25,-0.019275
26,-0.017758
27,-0.018558
28,-0.017103
29,-0.021136
2,-0.081677
30,-0.017834
31,-0.046301
32,-0.045430
33,-0.047483
34,-0.045303
35,-0.048972
36,-0.040907
37,-0.100866
38,-0.035359
39,-0.014118
3,-0.079006
40,-0.087680
41,-0.089097
42,-0.046163
43,-0.023881
44,-0.077207
45,-0.014300
46,-0.048169
47,-0.056112
48,-0.040029
49,-0.077621
4,-0.055908
50,-0.040431
51,-0.058404
52,-0.047112
53,-0.122789
54,-0.088624
55,-0.042778
56,-0.015514
57,-0.045394
58,-0.047778
59,-0.046687
5,-0.052146
60,-0.048396
61,-0.048073
62,-0.045937
63,-0.046861
64,-0.042376
65,-0.044285
66,-0.043393
67,-0.040019
68,-0.043523
69,-0.040679
6,-0.045265
70,-0.043049
71,-0.040740
72,-0.036422
73,-0.041829
74,-0.035410
75,-0.025980
76,-0.047764
77,-0.044681
78,-0.045763
79,-0.093868
7,-0.045553
80,-0.048372
81,-0.019374
82,-0.065672
83,-0.041821
84,-0.043900
85,-0.024217
86,-0.044560
87,-0.024738
88,-0.077801
89,-0.047645
8,-0.045726
9,-0.044136
